Ray Count,Time(ms),Avg Checks,Avg Error
100,295.7053000573069,2079.2,0.0
300,824.7404999565333,1901.9366666666667,0.0
500,1140.3604000806808,1895.898,0.0
1000,2410.1666999049485,1953.776,0.0
2000,5789.845900144428,1929.353,0.0
